date_created,assetSlug,price
2023-12-20T23:52:45.785765Z,avalanche,43.35
2023-12-21T23:53:16.355659Z,avalanche,46.01
2023-12-22T23:53:08.950542Z,avalanche,45.58
2023-12-23T23:53:18.002917Z,avalanche,48.13
2023-12-24T23:53:05.488141Z,avalanche,47.95
2023-12-25T23:53:07.075706Z,avalanche,48.3
2023-12-26T23:53:15.235172Z,avalanche,44.21
2023-12-27T23:53:07.820347Z,avalanche,42.38
2023-12-28T23:53:18.924369Z,avalanche,40.08
2023-12-29T23:53:26.676513Z,avalanche,40.12
2023-12-30T23:53:06.628946Z,avalanche,39.46
2023-12-31T23:53:36.738957Z,avalanche,38.63
2024-01-01T23:53:16.277506Z,avalanche,41.88
2024-01-02T23:53:19.811035Z,avalanche,40.64
2024-01-03T23:53:27.11474Z,avalanche,36.7
2024-01-04T23:53:29.076711Z,avalanche,38.68
2024-01-05T23:53:34.165337Z,avalanche,36.35
2024-01-06T23:53:12.062951Z,avalanche,34.4
2024-01-07T23:53:08.760605Z,avalanche,33.47
2024-01-08T23:53:20.150004Z,avalanche,36.09
2024-01-09T23:53:12.042371Z,avalanche,34.57
2024-01-10T23:53:16.490355Z,avalanche,38.76
2024-01-11T23:53:32.63717Z,avalanche,39.39
2024-01-12T23:53:57.886335Z,avalanche,35.84
2024-01-13T23:53:59.765819Z,avalanche,36.4
2024-01-14T23:53:10.2275Z,avalanche,35.59
2024-01-15T23:53:09.463583Z,avalanche,35.66
2024-01-16T23:53:43.932448Z,avalanche,35.62
2024-01-17T23:53:41.620835Z,avalanche,35.93
2024-01-18T23:53:41.829235Z,avalanche,33.57
2024-01-19T23:53:35.005315Z,avalanche,32.63
2024-01-20T23:53:28.236257Z,avalanche,32.82
2024-01-21T23:53:25.669157Z,avalanche,32.61
2024-01-22T23:53:51.697479Z,avalanche,29.48
2024-01-23T23:54:09.438238Z,avalanche,30.41
2024-01-24T23:54:50.050619Z,avalanche,31.19
2024-01-25T23:55:01.47598Z,avalanche,30.44
2024-01-26T23:54:09.431058Z,avalanche,32.27
2024-01-27T23:54:04.982033Z,avalanche,33.17
2024-01-28T23:54:06.35585Z,avalanche,34.87
2024-01-29T23:55:03.43836Z,avalanche,36.12
2024-01-30T23:54:58.567838Z,avalanche,35.1
2024-01-31T23:54:24.408741Z,avalanche,33.17
2024-02-01T23:54:17.792542Z,avalanche,33.84
2024-02-02T23:54:04.786929Z,avalanche,36.68
2024-02-03T23:54:11.478396Z,avalanche,35.92
2024-02-04T23:54:18.335108Z,avalanche,34.87
2024-02-05T23:54:15.308728Z,avalanche,34.51
2024-02-06T23:55:11.861879Z,avalanche,34.18
2024-02-07T23:54:27.52866Z,avalanche,35.29
2024-02-08T23:54:21.885145Z,avalanche,35.51
2024-02-09T23:54:49.929541Z,avalanche,38.16
2024-02-10T23:54:20.006665Z,avalanche,40.27
2024-02-11T23:54:18.597877Z,avalanche,39.65
2024-02-12T23:54:31.571621Z,avalanche,40.99
2024-02-13T23:55:02.637354Z,avalanche,39.74
2024-02-14T23:54:37.610139Z,avalanche,42.34
2024-02-15T23:54:31.254036Z,avalanche,41.65
2024-02-16T23:54:39.179679Z,avalanche,40.38
2024-02-17T23:54:30.389086Z,avalanche,39.79
2024-02-18T23:54:38.18104Z,avalanche,40.23
2024-02-19T23:54:44.430179Z,avalanche,39.47
2024-02-20T23:55:04.138037Z,avalanche,38.57
2024-02-21T23:54:57.176681Z,avalanche,37.7
2024-02-22T23:54:57.609933Z,avalanche,36.84
2024-02-23T23:55:05.294787Z,avalanche,35.99
2024-02-24T23:55:03.309315Z,avalanche,36.78
2024-02-25T23:54:43.265334Z,avalanche,37.45
2024-02-26T23:55:00.09182Z,avalanche,39.3
2024-02-27T23:55:20.821722Z,avalanche,39.21
2024-02-28T23:55:07.026981Z,avalanche,40.11
2024-02-29T23:55:02.539497Z,avalanche,40.96
2023-01-01T23:55:36.142719Z,binance-smart-chain,244.05
2023-01-02T23:55:15.075852Z,binance-smart-chain,245.54
2023-01-03T23:55:28.228864Z,binance-smart-chain,246.21
2023-01-04T23:55:15.640587Z,binance-smart-chain,258.96
2023-01-05T23:55:59.401898Z,binance-smart-chain,256.43
2023-01-06T23:55:50.323853Z,binance-smart-chain,259.81
2023-01-07T23:55:25.671088Z,binance-smart-chain,261.32
2023-01-08T23:55:15.568396Z,binance-smart-chain,273.3
2023-01-09T23:55:35.14475Z,binance-smart-chain,272.43
2023-01-10T23:55:15.11599Z,binance-smart-chain,277.1
2023-01-11T23:55:15.350519Z,binance-smart-chain,285.47
2023-01-12T23:55:15.488908Z,binance-smart-chain,287.39
2023-01-13T23:55:44.600464Z,binance-smart-chain,293.69
2023-01-14T23:55:34.024949Z,binance-smart-chain,305.81
2023-01-15T23:55:54.821981Z,binance-smart-chain,301.55
2023-01-16T23:55:39.40245Z,binance-smart-chain,298.88
2023-01-17T23:55:21.496622Z,binance-smart-chain,300.28
2023-01-18T23:55:15.50795Z,binance-smart-chain,287.77
2023-01-19T23:55:16.183619Z,binance-smart-chain,294.75
2023-01-20T23:55:15.772185Z,binance-smart-chain,304.95
2023-01-21T23:55:15.016601Z,binance-smart-chain,299.18
2023-01-22T23:55:17.111393Z,binance-smart-chain,303.1
2023-01-23T23:55:22.586203Z,binance-smart-chain,306.08
2023-01-24T23:55:16.741161Z,binance-smart-chain,300.46
2023-01-25T23:55:16.481857Z,binance-smart-chain,307.09
2023-01-26T23:55:15.514435Z,binance-smart-chain,304.98
2023-01-27T23:55:15.929146Z,binance-smart-chain,308.33
2023-01-28T23:55:16.142717Z,binance-smart-chain,306.18
2023-01-29T23:50:18.381406Z,binance-smart-chain,317.31
2023-01-30T23:55:16.50248Z,binance-smart-chain,307.06
2023-01-31T23:55:15.420915Z,binance-smart-chain,312.51
2023-02-01T23:55:17.124472Z,binance-smart-chain,317.65
2023-02-02T23:55:27.516489Z,binance-smart-chain,325.31
2023-02-03T23:56:02.455149Z,binance-smart-chain,332.31
2023-02-04T23:55:16.027739Z,binance-smart-chain,330.85
2023-02-05T23:55:15.72138Z,binance-smart-chain,327.66
2023-02-06T23:55:15.260516Z,binance-smart-chain,324.97
2023-02-07T23:55:17.084278Z,binance-smart-chain,333.73
2023-02-08T23:55:18.73761Z,binance-smart-chain,328.32
2023-02-09T23:55:18.780551Z,binance-smart-chain,305.75
2023-02-10T23:55:38.61553Z,binance-smart-chain,305.92
2023-02-11T23:56:28.219492Z,binance-smart-chain,311.0
2023-02-12T23:55:45.049915Z,binance-smart-chain,313.09
2023-02-13T23:55:26.191413Z,binance-smart-chain,293.32
2023-02-14T23:55:50.021275Z,binance-smart-chain,296.4
2023-02-15T23:55:34.118397Z,binance-smart-chain,317.25
2023-02-16T23:56:08.274955Z,binance-smart-chain,306.6
2023-02-17T23:55:43.206323Z,binance-smart-chain,313.67
2023-02-18T23:55:56.754355Z,binance-smart-chain,316.21
2023-02-19T23:55:31.152336Z,binance-smart-chain,311.31
2023-02-20T23:55:30.647824Z,binance-smart-chain,314.94
2023-02-21T23:55:35.154773Z,binance-smart-chain,311.08
2023-02-22T23:59:58.476849Z,binance-smart-chain,312.66
2023-02-23T23:56:24.916674Z,binance-smart-chain,308.52
2023-02-24T23:56:03.956723Z,binance-smart-chain,301.83
2023-02-25T23:55:54.760212Z,binance-smart-chain,302.14
2023-02-26T23:56:17.023649Z,binance-smart-chain,308.58
2023-02-27T23:55:51.916574Z,binance-smart-chain,304.82
2023-02-28T23:55:42.937552Z,binance-smart-chain,301.56
2023-03-01T23:55:24.847375Z,binance-smart-chain,303.17
2023-03-02T23:55:16.994787Z,binance-smart-chain,299.96
2023-03-03T23:55:57.964582Z,binance-smart-chain,290.21
2023-03-04T23:55:14.605861Z,binance-smart-chain,289.46
2023-03-05T23:55:19.329302Z,binance-smart-chain,288.04
2023-03-06T23:56:10.453036Z,binance-smart-chain,287.95
2023-03-07T23:56:49.765054Z,binance-smart-chain,288.66
2023-03-08T23:55:16.998922Z,binance-smart-chain,287.01
2023-03-09T23:56:00.074346Z,binance-smart-chain,277.2
2023-03-10T23:56:12.491844Z,binance-smart-chain,277.41
2023-03-11T23:55:52.56768Z,binance-smart-chain,275.85
2023-03-12T23:55:16.395396Z,binance-smart-chain,289.27
2023-03-13T23:56:15.758548Z,binance-smart-chain,308.72
2023-03-14T23:50:23.711909Z,binance-smart-chain,309.71
2023-03-15T23:55:31.555191Z,binance-smart-chain,307.73
2023-03-16T23:55:20.125525Z,binance-smart-chain,331.53
2023-03-17T23:55:48.457266Z,binance-smart-chain,339.76
2023-03-18T23:56:30.610625Z,binance-smart-chain,333.03
2023-03-19T23:56:27.672343Z,binance-smart-chain,338.47
2023-03-20T23:55:44.245111Z,binance-smart-chain,335.34
2023-03-21T23:56:11.043957Z,binance-smart-chain,336.69
2023-03-22T23:56:38.778234Z,binance-smart-chain,323.85
